Comp_meetnet	Typeklasse	Vegcode	Waterhuishoudingsklasse_2	Druk	Milieudruk	MaxMilieudrukkengroep
1	1	1	3	1	1	2
1	1	2	3	1	1	2
1	1	2	3	2	2	3
1	1	2	3	6	6	1
1	1	3	3	1	1	2
1	1	3	3	6	6	1
1	1	4	3	1	1	2
1	1	4	3	6	6	1
1	1	5	3	1	1	2
1	1	5	3	6	6	1
1	1	6	3	1	1	2
1	1	6	3	6	6	1
1	1	7	3	1	1	2
1	1	7	3	6	6	1
1	2	8	2	6	6	1
1	2	9	1	2	2	3
1	2	9	1	6	6	1
1	2	9	1	22	22	3
1	2	10	2	2	2	3
1	2	10	2	6	6	1
1	2	10	2	10	10	1
1	2	11	2	2	2	3
1	2	11	2	6	6	1
1	2	11	2	10	10	1
1	2	12	1	6	6	1
1	2	12	1	10	10	1
1	2	13	2	6	6	1
1	2	13	2	10	10	1
1	2	14	3	6	6	1
1	2	15	2	1	1	2
1	2	15	2	6	6	1
1	2	15	2	10	10	1
1	2	16	4	6	6	1
1	2	17	3	1	1	2
1	2	17	3	2	2	3
1	2	17	3	6	6	1
1	2	17	3	22	22	3
1	2	18	3	1	1	2
1	2	18	3	2	2	3
1	2	18	3	6	6	1
1	2	18	3	22	22	3
1	3	19	1	6	6	1
1	3	19	1	10	10	1
1	3	19	1	22	22	3
1	3	20	1	6	6	1
1	3	20	1	10	10	1
1	3	20	1	22	22	3
1	3	21	1	6	6	1
1	3	21	1	10	10	1
1	3	21	1	22	22	3
1	4	22	4	6	6	1
1	4	22	4	10	10	1
1	4	23	4	6	6	1
1	4	23	4	10	10	1
1	4	24	4	6	6	1
1	4	24	4	10	10	1
1	4	25	4	6	6	1
1	4	26	4	6	6	1
1	4	26	4	22	22	3
1	4	27	4	6	6	1
1	4	27	4	10	10	1
1	4	28	4	22	22	3
1	4	29	3	1	1	2
1	4	73	4	6	6	1
1	5	30	3	1	1	2
1	5	30	3	6	6	1
1	5	30	3	10	10	1
1	5	31	1	1	1	2
1	5	31	1	6	6	1
1	5	31	1	10	10	1
1	5	82	1	1	1	2
1	5	82	1	6	6	1
1	5	82	1	10	10	1
1	5	83	3	6	6	1
1	6	32	1	1	1	2
1	6	32	1	2	2	3
1	6	32	1	6	6	1
1	6	32	1	10	10	1
1	7	33	3	6	6	1
1	7	33	3	22	22	3
1	7	34	1	1	1	2
1	7	34	1	6	6	1
1	7	34	1	10	10	1
1	7	34	1	22	22	3
1	7	35	1	1	1	2
1	7	35	1	6	6	1
1	7	35	1	10	10	1
1	7	35	1	22	22	3
1	7	36	1	1	1	2
1	7	36	1	6	6	1
1	7	36	1	10	10	1
1	7	36	1	22	22	3
1	7	37	3	1	1	2
1	7	37	3	6	6	1
1	7	37	3	22	22	3
1	7	38	1	1	1	2
1	7	38	1	6	6	1
1	7	38	1	10	10	1
1	7	38	1	22	22	3
1	7	39	1	1	1	2
1	7	39	1	6	6	1
1	7	39	1	10	10	1
1	7	39	1	22	22	3
1	7	40	3	1	1	2
1	7	40	3	6	6	1
1	7	40	3	22	22	3
1	7	41	3	6	6	1
1	7	41	3	22	22	3
1	7	42	2	1	1	2
1	7	42	2	6	6	1
1	7	42	2	10	10	1
1	7	42	2	22	22	3
1	7	43	3	1	1	2
1	7	43	3	22	22	3
1	7	46	2	6	6	1
1	7	46	2	10	10	1
1	7	46	2	22	22	3
1	7	47	3	1	1	2
1	7	47	3	6	6	1
1	7	47	3	22	22	3
1	7	48	1	1	1	2
1	7	48	1	6	6	1
1	7	48	1	10	10	1
1	7	48	1	22	22	3
1	7	49	3	1	1	2
1	7	49	3	6	6	1
1	7	49	3	22	22	3
1	7	88	1	6	6	1
1	7	88	1	10	10	1
1	7	74	3	1	1	2
1	7	74	3	6	6	1
1	7	74	3	22	22	3
1	7	76	2	6	6	1
1	7	76	2	10	10	1
1	7	86	3	6	6	1
1	7	86	3	22	22	3
1	7	87	3	1	1	2
1	7	87	3	6	6	1
1	8	50	3	1	1	2
1	8	50	3	6	6	1
1	8	50	3	22	22	3
1	8	51	3	1	1	2
1	8	51	3	6	6	1
1	8	51	3	22	22	3
1	8	52	3	1	1	2
1	8	52	3	6	6	1
1	8	52	3	22	22	3
1	8	53	3	1	1	2
1	8	53	3	6	6	1
1	8	53	3	22	22	3
1	8	54	3	1	1	2
1	8	54	3	6	6	1
1	8	54	3	22	22	3
1	8	55	3	1	1	2
1	8	55	3	6	6	1
1	8	55	3	22	22	3
1	8	56	5	6	6	1
1	8	57	3	1	1	2
1	8	57	3	6	6	1
1	8	57	3	22	22	3
1	8	77	3	1	1	2
1	8	77	3	6	6	1
1	8	77	3	22	22	3
1	8	78	3	1	1	2
1	8	78	3	6	6	1
1	8	78	3	22	22	3
1	8	79	3	1	1	2
1	8	79	3	6	6	1
1	8	79	3	22	22	3
