Vegcode	Waterhuishouding
1130	2
1140	3
1310	3
1310_pol	3
1310_zk	3
1310_zv	3
1320	3
1330	3
1330_da	3
1330_hpr	3
2110	1
2110	3
2120	1
2130	1
2130	3
2130_had	1
2130_had	3
2130_hd	1
2130_hd	3
2150	1
2160	1
2160	3
2170	3
2180	1
2180	3
2190	2
2190	3
2190_a	2
2190_mp	3
2190_overig	3
2310	1
2330	1
2330_bu	1
2330_dw	1
3110	2
3130	2
3130_aom	2
3130_na	2
3140	2
3150	2
3160	2
3260	2
3270	3
4010	3
4030	1
5130	1
5130_hei	1
5130_kalk	1
6120	3
6210	1
6210_hk	1
6210_sk	1
6230	1
6230	3
6230_ha	1
6230_hmo	3
6230_hn	1
6230_hnk	1
6410	3
6410_mo	3
6410_ve	3
6430	1
6430	3
6430_bz	1
6430_bz	3
6430_hf	3
6430_hw	3
6430_mr	3
6510	1
6510	3
6510_hu	1
6510_hu	3
6510_hua	3
6510_huk	1
6510_hus	3
7110	3
7140	3
7140_base	3
7140_meso	3
7140_mrd	3
7140_oli	3
7150	3
7210	3
7220	2
7230	3
8310	1
8310	3
9110	1
9120	1
9120	3
9120_qb	1
9120_qb	3
9130	1
9130	3
9130_end	1
9130_end	3
9130_fm	1
9130_fm	3
9150	1
9160	1
9160	3
9190	1
9190	3
91E0	3
91E0_sf	3
91E0_va	3
91E0_vc	3
91E0_vm	3
91E0_vn	3
91E0_vo	3
91F0	3
rbbah	2
rbbha	1
rbbhc	3
rbbhf	3
rbbhfl	3
rbbkam	1
rbbkam	3
rbbkam+	1
rbbkam+	3
rbbmc	3
rbbmr	3
rbbms	3
rbbppm	1
rbbppm	3
rbbpsp	3
rbbsf	3
rbbsg	1
rbbsm	3
rbbso	3
rbbsp	1
rbbvos	3
rbbvos+	3
rbbzil	3
rbbzil+	3
