scheme	type	typegroup
6	60	13
6	61	13
6	62	14
6	63	12
6	64	12
6	65	14
6	66	13
6	67	13
6	68	15
6	69	15
6	70	13
6	73	13
6	74	14
6	75	14
6	77	14
6	78	13
6	79	15
6	80	15
6	81	15
6	82	14
6	83	15
6	84	13
6	87	15
6	88	14
6	89	15
7	27	NA
7	40	NA
7	43	NA
7	44	NA
7	54	NA
8	16	NA
8	22	NA
8	23	NA
8	24	NA
8	25	NA
8	26	NA
8	27	NA
8	28	NA
8	30	NA
8	66	NA
64	71	NA
9	2	18
9	3	16
9	4	19
9	5	16
9	6	16
9	7	18
9	10	20
9	11	20
9	13	19
9	14	19
9	15	19
9	17	17
9	18	19
9	29	16
9	31	18
9	34	17
9	40	19
9	43	18
9	44	18
9	45	20
9	46	18
9	47	18
9	48	18
9	50	19
9	52	19
9	54	18
9	55	18
9	56	18
9	57	20
9	58	19
9	59	18
9	60	16
9	61	16
9	62	16
9	63	16
9	64	18
9	65	16
9	66	16
9	67	16
9	68	17
9	69	17
9	70	17
9	74	19
9	75	20
9	77	19
9	78	20
9	79	18
9	80	19
9	81	16
9	82	16
9	83	18
9	84	16
9	85	19
9	86	20
9	87	18
9	88	18
10	2	NA
10	7	NA
10	34	NA
10	48	NA
10	68	NA
10	73	NA
10	77	NA
10	80	NA
10	81	NA
10	82	NA
10	83	NA
10	84	NA
11	2	NA
11	7	NA
11	30	NA
12	2	NA
12	7	NA
12	23	NA
12	25	NA
12	26	NA
12	27	NA
12	28	NA
12	30	NA
12	40	NA
12	43	NA
12	44	NA
12	46	NA
12	47	NA
12	49	NA
12	50	NA
12	52	NA
12	54	NA
12	57	NA
12	58	NA
12	59	NA
12	60	NA
12	61	NA
12	62	NA
12	63	NA
12	64	NA
12	65	NA
12	66	NA
12	67	NA
12	68	NA
12	69	NA
12	70	NA
12	71	NA
13	1	NA
13	2	NA
13	3	NA
13	4	NA
13	5	NA
13	6	NA
13	7	NA
13	8	NA
13	13	NA
13	14	NA
13	15	NA
13	17	NA
13	18	NA
13	31	NA
13	34	NA
13	36	NA
13	37	NA
13	38	NA
13	40	NA
13	42	NA
13	43	NA
13	44	NA
13	45	NA
13	46	NA
13	47	NA
13	48	NA
13	49	NA
13	50	NA
13	51	NA
13	52	NA
13	54	NA
13	55	NA
13	56	NA
13	57	NA
13	58	NA
13	59	NA
13	60	NA
13	61	NA
13	62	NA
13	63	NA
13	64	NA
13	65	NA
13	66	NA
13	67	NA
13	68	NA
13	69	NA
13	70	NA
13	73	NA
13	74	NA
13	75	NA
13	77	NA
13	78	NA
13	79	NA
13	80	NA
13	81	NA
13	82	NA
13	83	NA
13	84	NA
13	85	NA
13	86	NA
13	87	NA
13	88	NA
13	89	NA
14	1	NA
14	2	NA
14	3	NA
14	5	NA
14	6	NA
14	7	NA
14	29	NA
14	36	NA
14	40	NA
14	43	NA
14	44	NA
14	46	NA
14	47	NA
14	48	NA
14	49	NA
14	50	NA
14	52	NA
14	54	NA
14	55	NA
14	56	NA
14	57	NA
14	58	NA
14	59	NA
14	60	NA
14	61	NA
14	62	NA
14	67	NA
14	68	NA
14	69	NA
14	70	NA
14	79	NA
14	80	NA
14	82	NA
14	83	NA
14	84	NA
14	85	NA
14	87	NA
14	88	NA
15	1	NA
15	2	NA
15	3	NA
15	4	NA
15	5	NA
15	6	NA
15	7	NA
15	29	NA
15	36	NA
15	47	NA
15	48	NA
15	50	NA
15	52	NA
15	58	NA
15	59	NA
15	68	NA
15	79	NA
15	85	NA
16	1	NA
16	3	NA
16	5	NA
16	6	NA
16	29	NA
16	47	NA
16	48	NA
16	79	NA
17	4	NA
17	65	NA
17	66	NA
18	1	NA
18	3	NA
18	5	NA
18	6	NA
18	29	NA
19	4	NA
20	2	NA
20	7	NA
21	1	NA
21	2	NA
21	3	NA
21	4	NA
21	7	NA
21	36	NA
21	37	NA
21	38	NA
21	39	NA
21	40	NA
21	41	NA
21	42	NA
21	43	NA
21	44	NA
21	45	NA
21	46	NA
21	47	NA
21	49	NA
21	50	NA
21	51	NA
21	52	NA
21	54	NA
21	57	NA
21	58	NA
21	59	NA
21	60	NA
21	61	NA
21	62	NA
21	65	NA
21	67	NA
21	68	NA
21	69	NA
22	1	NA
22	4	NA
22	8	NA
23	1	NA
23	3	NA
23	4	NA
23	5	NA
23	6	NA
23	8	NA
23	9	NA
23	10	NA
23	11	NA
23	12	NA
23	29	NA
23	36	NA
23	47	NA
23	48	NA
24	9	NA
24	10	NA
24	11	NA
24	12	NA
24	14	NA
24	17	NA
24	19	NA
24	20	NA
24	21	NA
24	35	NA
24	36	NA
24	76	NA
25	2	NA
25	7	NA
25	8	NA
25	9	NA
25	10	NA
25	11	NA
25	12	NA
25	17	NA
25	18	NA
25	19	NA
25	20	NA
25	21	NA
25	31	NA
25	32	NA
25	33	NA
25	34	NA
25	35	NA
25	36	NA
25	37	NA
25	38	NA
25	39	NA
25	40	NA
25	41	NA
25	42	NA
25	43	NA
25	44	NA
25	45	NA
25	46	NA
25	49	NA
25	50	NA
25	51	NA
25	52	NA
25	53	NA
25	54	NA
25	55	NA
25	57	NA
25	58	NA
25	59	NA
25	60	NA
25	61	NA
25	62	NA
25	63	NA
25	64	NA
25	65	NA
25	67	NA
25	68	NA
25	69	NA
25	70	NA
25	72	NA
25	73	NA
25	74	NA
25	75	NA
25	76	NA
25	77	NA
25	78	NA
25	79	NA
25	80	NA
25	81	NA
25	82	NA
25	84	NA
25	86	NA
25	87	NA
25	88	NA
25	89	NA
26	2	NA
26	7	NA
26	36	NA
26	37	NA
26	38	NA
26	39	NA
26	40	NA
26	41	NA
26	42	NA
26	43	NA
26	44	NA
26	45	NA
26	46	NA
26	49	NA
26	50	NA
26	51	NA
26	52	NA
26	54	NA
26	55	NA
26	57	NA
26	58	NA
26	59	NA
26	62	NA
26	67	NA
26	70	NA
26	71	NA
26	83	NA
26	87	NA
27	26	NA
27	28	NA
28	16	NA
28	22	NA
28	23	NA
28	24	NA
28	25	NA
28	26	NA
28	27	NA
28	28	NA
28	30	NA
62	16	22
62	22	21
62	23	22
62	24	23
62	25	23
62	26	24
62	27	21
62	30	24
63	28	NA
63	66	NA
30	28	NA
30	66	NA
31	23	NA
32	30	NA
33	22	NA
33	23	NA
33	24	NA
33	25	NA
33	26	NA
33	27	NA
33	28	NA
33	30	NA
34	22	NA
34	23	NA
34	24	NA
34	25	NA
34	26	NA
34	27	NA
34	28	NA
34	30	NA
35	6	NA
35	7	NA
29	9	NA
36	10	NA
36	11	NA
37	13	NA
38	14	NA
39	15	NA
40	17	NA
40	18	NA
41	19	NA
42	20	NA
43	22	NA
44	23	NA
44	24	NA
45	25	NA
46	26	NA
47	27	NA
48	29	NA
49	31	NA
50	32	NA
51	36	NA
52	39	NA
52	40	NA
52	41	NA
52	42	NA
53	43	NA
53	44	NA
54	49	NA
54	50	NA
54	51	NA
54	52	NA
55	61	NA
55	63	NA
56	73	NA
57	74	NA
58	77	NA
59	78	NA
60	79	NA
60	80	NA
60	81	NA
60	82	NA
60	83	NA
60	84	NA
