scheme	type	typegroup
1	2	2
1	3	2
1	4	2
1	5	2
1	6	2
1	7	2
1	8	2
1	9	2
1	10	1
1	11	1
1	12	1
1	13	2
1	14	2
1	15	1
1	16	2
1	17	1
1	18	2
1	19	1
1	20	1
1	21	1
1	22	1
1	23	1
1	24	1
1	25	1
1	26	2
1	27	1
1	30	3
1	31	1
1	32	1
1	33	1
1	34	1
1	35	1
1	36	1
1	37	2
1	38	2
1	39	1
1	40	1
1	41	1
1	42	1
1	43	1
1	44	1
1	45	2
1	49	2
1	50	2
1	51	2
1	52	2
1	53	2
1	54	2
1	57	2
1	58	2
1	59	2
1	60	1
1	61	1
1	62	1
1	63	1
1	64	2
1	65	2
1	66	2
1	67	1
1	68	2
1	69	3
1	70	1
1	72	5
1	73	5
1	74	5
1	75	5
1	76	5
1	77	5
1	78	4
1	80	5
1	81	5
1	82	5
1	83	6
1	84	6
1	85	6
1	86	4
1	87	6
1	88	5
1	89	4
2	10	7
2	11	7
2	12	7
2	13	8
2	15	7
2	19	7
2	20	7
2	21	7
2	22	7
2	23	7
2	24	7
2	27	7
2	31	7
2	32	7
2	33	7
2	35	7
2	37	7
2	38	7
2	39	7
2	41	7
2	42	7
2	45	9
2	49	7
2	51	7
2	53	7
2	57	7
2	72	10
2	73	10
2	74	10
2	75	10
2	76	10
2	77	10
2	78	10
2	80	11
2	81	11
2	82	11
2	83	11
2	84	11
2	85	11
2	86	10
2	88	10
2	89	10
3	9	NA
3	17	NA
3	18	NA
3	19	NA
3	20	NA
3	21	NA
3	26	NA
3	28	NA
3	36	NA
3	37	NA
3	38	NA
3	39	NA
3	40	NA
3	41	NA
3	42	NA
3	43	NA
3	44	NA
3	45	NA
3	46	NA
3	49	NA
3	50	NA
3	51	NA
3	52	NA
3	54	NA
3	58	NA
3	60	NA
3	61	NA
3	62	NA
3	63	NA
3	64	NA
3	65	NA
3	67	NA
3	68	NA
3	69	NA
3	70	NA
3	71	NA
4	1	NA
4	2	NA
4	3	NA
4	4	NA
4	5	NA
4	6	NA
4	7	NA
4	15	NA
4	17	NA
4	18	NA
4	29	NA
4	31	NA
4	32	NA
4	33	NA
4	35	NA
4	37	NA
4	38	NA
4	39	NA
4	40	NA
4	41	NA
4	42	NA
4	43	NA
4	45	NA
4	46	NA
4	50	NA
4	51	NA
4	52	NA
4	54	NA
4	59	NA
4	60	NA
4	61	NA
4	62	NA
4	63	NA
4	64	NA
4	65	NA
4	67	NA
4	68	NA
4	69	NA
4	70	NA
4	71	NA
4	72	NA
4	73	NA
4	74	NA
4	75	NA
4	76	NA
4	77	NA
4	78	NA
4	85	NA
4	86	NA
5	2	NA
5	9	NA
5	10	NA
5	11	NA
5	17	NA
5	18	NA
5	35	NA
5	71	NA
6	2	15
6	7	15
6	16	13
6	17	13
6	18	13
6	22	12
6	23	13
6	24	14
6	25	14
6	26	15
6	27	12
6	28	15
6	30	15
6	31	12
6	34	13
6	40	12
6	43	13
6	44	13
6	46	15
6	47	15
6	49	14
6	50	14
6	52	14
6	54	14
6	55	15
6	56	14
6	57	14
6	58	15
6	59	15
