soiltype_orig	soiltype_unified_transl	texture_transl	moisture_transl
d.A0	Zap	Z	a
d.B1	Zap	Z	a
d.B2	Zcp	Z	c
d.B3	Zdp	Z	d
d.C1	Zbp	Z	b
d.C2	Zcp	Z	c
d.C2a	Zcp	Z	c
d.C3	Zdp	Z	d
d.Da	uZdp	Z	d
d.Db	uSdp	S	d
G	G	NA	NA
h.G2	Uep	U	e
h.G3	Ufp	U	f
h.K1	uEdp	E	d
h.K1a	uEdpy	E	p
h.K1l	uEdpz	E	d
h.K2	u-Edp	E	d
h.K2a	u-Edpy	E	p
h.K3	Udp	U	d
h.K3z	Udpz	U	d
m.A0	Sbp	S	b
m.A2-D2	s-Lcp	L	c
m.A4	lEdp	E	d
m.A5	l-Edp	E	d
m.D1	sLbp	L	b
m.D2	s-Lcp	L	c
m.D3	sLdp	L	d
m.D4	lEdp	E	d
m.D4l	lLdp	L	d
m.D5	l-Udp	U	d
m.D5d	l-Edp	E	d
m.D5l	l-Edp	E	d
m.Df1	l-Udpy	U	d
m.Dk4	uEdpz	E	d
m.Dk5	uEdpz	E	d
m.Dk6	u-Edpz	E	d
m.Dl2	lLdpz	L	d
m.Dl4	uLdpz	L	d
m.Dl5	uEdpz	E	d
m.Dl6	u-Edpz	E	d
m.E1	Udp	U	d
m.E1l	Edp	E	d
m.F1	(v)Uep	U	e
m.F2	v-Uep	U	e
m.F4	Vgp	V	g
m.Fc1	u-Uep	U	e
m.Fc2	u-Uep	U	e
m.Fc3	vUep	U	e
m.Fk1	uEep	E	e
m.Fk1d	uEepz	E	e
m.Fk2	v-Eep	E	e
m.Fk3	u-Eep	E	e
m.Fk3d	u-Eepz	E	e
m.Fk4	v-Eep	E	e
m.Fl1	uPdp	P	d
m.Fl1d	uPdpz	P	d
m.Fl2	v-Pdp	P	d
m.Fl3	u-Pdp	P	d
m.Fl3d	u-Pdpz	P	d
m.Fl4	v-Pdp	P	d
m.G1	Uep	U	e
m.G2	Uep	U	e
m.M1	Sep(o)	S	e
m.M2	l-Vfp(o)	V	f
m.M3	(v)Uep(o)	U	e
m.P1	lPdp	P	d
m.P2	l-Pdp	P	d
m.P3	lEdp	E	d
m.P4	l-Edp	E	d
m.P5	lUdp	U	d
m.P6	l-Udp	U	d
m.Pk2	u-Edpz	E	p
m.Pk4	u-Edpz	E	p
m.Pl1	lEdp	E	d
m.Pl2	l-Edp	E	d
m.Pl4	l-Edp	E	d
m.uE1	u-Edp	E	d
m.uF1	(u)Pdp	P	d
m.uP1	u-Pdp	P	d
m.uP2	u-Pdp	P	d
m.uP3	u-Ldp	L	d
m.uP4	u-Ldp	L	d
m.uP5	u-Udp	U	d
m.uP6	u-Edp	E	d
n.A1	Zbp	Z	b
n.A1h	(s)Zbp	Z	b
n.A2	Sbp	S	b
n.A2k	u-Sbp	S	b
n.A2z	s-Sbp	S	b
n.B1	lUdp	U	d
n.B2	l-Udp	U	d
n.B3	(l)Udp	U	d
OA	OA	NA	NA
o.A0	Sbp	S	b
o.A1	sLbp	L	b
o.A2	s-Lcp	L	c
o.A2-D2	s-Ecp	E	c
o.A3	sEdp	E	d
o.A4	lEdp	E	d
o.A4l	lUdp	U	d
o.A5	l-Edp	E	d
o.A5l	l-Udp	U	d
o.A6	(l)Udp	U	d
o.Ab1	(v)Udp	U	d
OB	OB	NA	NA
o.B1	(v)Uep	U	e
o.B2	v-Uep	U	e
o.B3	vUfp	U	f
o.B4	Vgp	V	g
o.Bk1	(v)Uep	U	e
o.Bk2	v-Uep	U	e
o.Bk3	vUfp	U	f
OC	OC	NA	NA
o.C1	u-Udp	U	d
o.C2	u-Uep	U	e
o.C3	l-Udp	U	d
OE	OE	NA	NA
OE1	Edp	E	d
OG1	Udp	U	d
o.G2	Uep	U	e
OG2	Uep	U	e
o.G3	Ufp	U	f
OH	OH	NA	NA
OL	OL	NA	NA
o.M1	Eep(o)	E	e
o.M2	l-Vfp(o)	V	f
o.M3	l-Ufp(o)	U	f
ON	ON	NA	NA
OO	Edpz	E	d
OO1	Pdpz	P	d
OO2	Edpz	E	d
OO3	u-Edpz	E	d
OO4	uEdpz	E	d
o.P1	lPdp	P	d
o.P2	l-Pdp	P	d
o.P3	lEdp	E	d
o.P4	l-Edp	E	d
o.P5	lUdp	U	d
o.P6	l-Udp	U	d
o.P6k	uEdp	E	d
o.P6l	l-Edp	E	d
o.Pb1	(l)Udpz	U	d
o.Pb2	v-Uepz	U	e
o.Rz2	u-Sdpz	S	d
OT	OT	NA	NA
o.T6	u-Uep	U	e
o.Tb2	v-Uepy	U	e
OU1	Eepv	E	e
OU2	Uepv	U	e
OU3	Edps	E	d
OW	OW	NA	NA
o.W1	w-Udp	U	d
o.W2k	uEdp	E	d
o.W2z	sEdp	E	d
OZ	Edps	E	d
r.El	Edp	E	d
r.Elz	Edpz	E	d
r.Em	Edp	E	d
r.Emz	Edpz	E	d
r.En	Eep	E	e
r.Pl	Pdp	P	d
r.Pm	Pdp	P	d
r.Pn	Pep	P	e
r.sEl	sEdp	E	d
r.Sl	Scp	S	c
r.Sly	Scpy	S	d
r.Sm	Sdp	S	d
r.Smy	Sdpy	S	d
r.sPl	sPdp	P	d
r.sPm	sPdp	P	d
r.uPl	uPdp	P	d
r.uPm	uPdp	P	d
r.uSl	uScp	S	c
r.uSm	uSdp	S	d
z.Ba	Edp	E	d
z.Bb1	lEdp	E	d
z.Bb1k	lEdpy	E	d
z.Bb2	l-Edp	E	d
z.Bb2k	l-Edpy	E	d
z.Bb3	(l)Edp	E	d
z.Bb3k	(l)Edpy	E	d
z.Bc0	sUdp	U	d
z.Bc1	l-Udp	U	d
z.Bc1k	l-Udpy	U	d
z.Bc2	l-Udp	U	d
z.Bc3	(u)Udp	U	d
z.G1z	Sdp	S	d
z.G2	Uep	U	e
z.G3	Ufp	U	f
z.H1	z-Edp	E	d
z.H2	u-Edp	E	d
z.Kv	(v)Udp	U	d
z.L	Edp	E	d
z.Lk2	uEdp	E	d
z.Lk4	u-Edp	E	d
z.Lk4v	v-Edp	E	d
z.P1	lPdp	P	d
z.P2	l-Pdp	P	d
z.P3	lEdp	E	d
z.P5	lUdp	U	d
z.P6	l-Udp	U	d
z.P7	lSdpy	S	d
z.Pk2	u-Edpz	E	d
z.Pk4	u-Edpz	E	d
z.Pl2	u-Pdpz	P	d
z.Pl4	u-Pdpz	P	d
z.Pm	(l)Pdpy	P	d
