ep_code	ep_class	explanation
ep_011	ep_class_01	ep_011_explan
ep_012	ep_class_01	ep_012_explan
ep_013	ep_class_01	ep_012_explan
ep_014	ep_class_01	ep_014_explan
ep_015	ep_class_01	ep_015_explan
ep_03.1	ep_class_03	ep_03.1_explan
ep_03.2	ep_class_03	ep_03.1_explan
ep_03.3	ep_class_03	ep_03.1_explan
ep_03.4	ep_class_03	ep_03.1_explan
ep_04.1	ep_class_04	ep_04.1_explan
ep_04.2	ep_class_04	ep_04.1_explan
ep_04.3	ep_class_04	ep_04.1_explan
ep_05.1	ep_class_05	ep_05.1_explan
ep_05.2	ep_class_05	ep_05.1_explan
ep_061	ep_class_06	ep_061_explan
ep_062	ep_class_06	ep_061_explan
ep_063	ep_class_06	ep_063_explan
ep_064	ep_class_06	ep_063_explan
ep_065	ep_class_06	ep_065_explan
ep_066	ep_class_06	ep_065_explan
ep_07.1	ep_class_07	ep_07.1_explan
ep_07.2	ep_class_07	ep_07.1_explan
ep_07.3	ep_class_07	ep_07.1_explan
ep_07.4	ep_class_07	ep_07.1_explan
ep_08.1	ep_class_08	ep_08.1_explan
ep_08.2	ep_class_08	ep_08.1_explan
ep_08.3	ep_class_08	ep_08.1_explan
ep_08.4	ep_class_08	ep_08.1_explan
ep_08.5	ep_class_08	ep_08.5_explan
ep_09.1	ep_class_09	ep_09.1_explan
ep_09.2	ep_class_09	ep_09.1_explan
ep_09.3	ep_class_09	ep_09.1_explan
ep_101	ep_class_10	ep_101_explan
ep_102	ep_class_10	ep_101_explan
ep_103	ep_class_10	ep_103_explan
